,Incident Date,State,City Or County,Address,# Killed,# Injured
1627,"February 28, 2016",Virginia,Portsmouth,4200 block of Moregate Lane,0,1
1628,"February 28, 2016",Virginia,Portsmouth,700 block of Lancer Drive,0,1
1629,"February 23, 2016",Florida,Sanford,,0,1
1630,"February 20, 2016",Michigan,Grand Rapids (Kentwood),5745 East Grove Drive SE,0,1
1631,"February 17, 2016",Virginia,Suffolk,200 block of Jonathans Way,0,1
1632,"February 14, 2016",North Carolina,Knightdale,200 block of Colchester Drive,0,1
1633,"February 12, 2016",Kentucky,Louisville,500 block of West Evelyn Avenue,0,1
1634,"February 8, 2016",Georgia,Walton (county),,0,1
1635,"February 7, 2016",Ohio,Dayton,1200 block of Rosedale Drive,0,1
1636,"February 6, 2016",Texas,Forney,17437 Adams Trail,0,1
1637,"February 6, 2016",Georgia,Danielsville,Georgia Highway 174,0,1
1638,"February 5, 2016",Texas,Temple,5200 block of Indian Springs Drive,0,1
1639,"February 4, 2016",Texas,Temple (Moffatt),5200 block of Indian Springs Road,0,1
1640,"February 2, 2016",Missouri,Saint Louis,3900 block of S Grand Blvd,0,1
1641,"January 27, 2016",Maryland,Waldorf,3300 block of Patapsco Place,0,1
1642,"January 27, 2016",Texas,Brownsville,900 block of Ruben Torres Boulevard,0,1
1643,"January 26, 2016",Louisiana,New Orleans (Algiers),300 block of Huntlee Drive,0,1
1644,"January 23, 2016",Indiana,South Bend,2700 block of East Edison Road,0,1
1645,"January 22, 2016",Nevada,Las Vegas,3600 Las Vegas Boulevard South,0,1
1646,"January 18, 2016",Missouri,Grandview,,0,1
1647,"January 15, 2016",Virginia,Abingdon,,0,1
1648,"January 10, 2016",New York,Orchard Park,Sandpiper Court,0,1
1649,"January 8, 2016",Tennessee,Kingsport,2005 Michelham Drive,0,1
1650,"January 8, 2016",Texas,Carlsbad,11000 block of Midland,0,1
1651,"January 4, 2016",Tennessee,Memphis,1400 block of Briercrest Lane,2,1
1652,"January 4, 2016",Georgia,Lagrange,64 North Cary Street,0,1
1653,"January 4, 2016",Florida,Saint Cloud,2900 block of Michigan Avenue,0,1
1654,"January 3, 2016",Iowa,Dubuque,942 Main Street,0,1
1655,"January 3, 2016",Texas,Spring,30706 Eastridge Drive,0,1
1656,"January 1, 2016",Florida,Orlando,800 block of South Kirkman Road,0,1
1657,"December 30, 2015",Pennsylvania,Philadelphia,2500 block of North Bancroft Street,0,1
1658,"December 26, 2015",Virginia,Newport News,400 block of West 27th Street,0,1
1659,"December 26, 2015",Michigan,Kent (county),Lincoln Lake Avenue,1,1
1660,"December 25, 2015",Oregon,Molalla,30700 block of S Marian St,0,1
1661,"December 24, 2015",North Carolina,Franklin (Watauga),123 Old Chigger Trail,0,1
1662,"December 24, 2015",Texas,Fort Worth (Watauga),123 Old Chigger Trail,0,1
1663,"December 19, 2015",California,San Diego,3800 block of Caminito Aguilar,0,1
1664,"December 19, 2015",California,San Diego,3884 Caminito Aguilar,0,1
1665,"December 19, 2015",Texas,Houston,10633 Strickland,0,1
1666,"December 15, 2015",Missouri,Imperial,5400 block of Lakewood Terrace,0,1
1667,"December 14, 2015",Ohio,Toledo,2100 block of Alvin Street,0,1
1668,"December 12, 2015",Alaska,Anchorage,4000 block of Wispen Circle,0,1
1669,"December 12, 2015",Illinois,Chicago,5900 block of South Calumet Avenue,0,1
1670,"December 6, 2015",Louisiana,New Orleans,7300 block of Brevard Street,0,1
1671,"December 6, 2015",Georgia,Conyers,Frontier Drive,0,1
1672,"December 5, 2015",Georgia,Atlanta,2051 Flat Shoals Road SE,0,1
1673,"December 5, 2015",Ohio,Dayton,600 block of Hulbert Avenue,0,1
1674,"December 5, 2015",California,Stockton,,0,1
1675,"December 3, 2015",Ohio,Columbus,700 block of Kelton Avenue,0,1
1676,"December 2, 2015",Ohio,Columbus,,0,1
1677,"November 30, 2015",Tennessee,Nashville,84 Whitsett Road,0,1
1678,"November 29, 2015",Washington,Everett,12400 block of Admiralty Way,0,1
1679,"November 26, 2015",Ohio,Baltic,102 Baltic Haus Drive,0,1
1680,"November 24, 2015",North Carolina,Raleigh,4204 Ferriday Court,0,1
1681,"November 19, 2015",Texas,Lubbock (county),,0,1
1682,"November 15, 2015",Oklahoma,Jay,E 310 Rd and S 685 Rd,0,1
1683,"November 12, 2015",Illinois,Chicago,9000 block of South Bishop,0,1
1684,"November 6, 2015",Michigan,Troy,2105 South Blvd W,0,1
1685,"October 30, 2015",Arizona,Phoenix,18th Street and Baseline Road,0,1
1686,"October 29, 2015",Florida,Fort Myers,3600 block of Seminole Avenue,0,1
1687,"October 28, 2015",Ohio,Cleveland,6600 block of Bliss Avenue,0,1
1688,"October 28, 2015",California,San Jose,1900 block of Almaden Road,0,2
1689,"October 25, 2015",Florida,Orlando,4614 Alrix Drive,0,2
1690,"October 24, 2015",Pennsylvania,Erie,2057 Charleston Ave,0,1
1691,"October 24, 2015",Arkansas,Forrest City,,0,1
1692,"October 24, 2015",Texas,Mission,4600 block of Sorita Street,0,1
1693,"October 23, 2015",Texas,San Antonio,Canterbury Drive,0,1
1694,"October 23, 2015",Florida,Bartow,Hunt Road,0,1
1695,"October 19, 2015",Florida,Lehigh Acres,South Alabama Road,0,1
1696,"October 19, 2015",Georgia,Rhine,Oak Grove Church Road,0,1
1697,"October 17, 2015",Georgia,Dallas,400 block of Fairview Drive,1,1
1698,"October 16, 2015",West Virginia,Cedar Grove,200 block of William Street,0,1
1699,"October 11, 2015",South Carolina,Rock Hill,1100 block of Stanley Drive,0,1
1700,"October 10, 2015",Alabama,Tuscaloosa,13000 block of North Rosser Road,0,1
1701,"September 29, 2015",Illinois,Chicago,7000 block of South Harper Avenue,0,1
1702,"September 28, 2015",Pennsylvania,Philadelphia,5000 block of Boudinot Street,0,3
1703,"September 24, 2015",Michigan,Battle Creek,120 block of Greentree Boulevard,0,1
1704,"September 24, 2015",Oregon,Dallas,2000 block of Mistletoe Road,0,1
1705,"September 22, 2015",New York,Lake Placid,The Commons Way,0,1
1706,"September 20, 2015",Utah,Ogden,100 North block of Pingree Ave,0,1
1707,"September 18, 2015",Indiana,Muncie,700 block of South Elm Street,0,1
1708,"September 13, 2015",Missouri,Kansas City,9100 block of Oak Street,0,1
1709,"September 8, 2015",Arizona,Casa Grande,,0,1
1710,"September 4, 2015",Wisconsin,Milwaukee,4200 block of West Lisbon,0,1
1711,"September 3, 2015",Mississippi,Rankin (county),Perez Cove Road,0,1
1712,"August 30, 2015",Delaware,Ocean View,37000 block of Muddy Neck Road,0,1
1713,"August 30, 2015",Delaware,Ocean View (Oceanview),37000 block of Muddy Neck Road,0,1
1714,"August 30, 2015",Vermont,West Rutland (Ira),US 4,0,1
1715,"August 25, 2015",Georgia,Augusta,310 Kentucky Avenue,0,1
1716,"August 24, 2015",Ohio,Cincinnati (North College Hill),1900 block of Goodman Avenue,0,1
1717,"August 21, 2015",Indiana,Indianapolis,3500 block of North Temple Avenue,0,1
1718,"August 21, 2015",Texas,New Braunfels,Shadow Circle,0,1
1719,"August 20, 2015",Georgia,Savannah,401 Carolan Street,0,1
1720,"August 19, 2015",Georgia,Columbus,1000 Wynnton Rd,0,1
1721,"August 16, 2015",Georgia,Douglas,Cutter Road,1,0
1722,"August 12, 2015",Pennsylvania,Philadelphia,1100 block of East Chelten Avenue,0,1
1723,"August 11, 2015",Ohio,Columbus,400 block of Glenwood Ave,0,1
1724,"August 10, 2015",Florida,Lakeland,,0,1
1725,"August 9, 2015",Delaware,Lincoln,21000 block of W. Mayhew Dr.,0,2
1726,"August 5, 2015",Pennsylvania,Ford City,1123 Fourth Avenue,0,1
1727,"August 4, 2015",Florida,Miami,112 NE 71st Street,0,1
1728,"July 31, 2015",Tennessee,Nashville,Hampton Street,0,1
1729,"July 31, 2015",Iowa,Des Moines,2300 block of East 11th Street,0,1
1730,"July 27, 2015",Missouri,Saint Louis,3700 block of Wisconsin,0,2
1731,"July 26, 2015",Missouri,Caruthersville,,0,1
1732,"July 25, 2015",Virginia,Beaverdam,20000 block of Beaverdam Road,0,1
1733,"July 25, 2015",Louisiana,New Orleans,3100 block of General Meyer Avenue,0,1
1734,"July 24, 2015",Texas,Galveston,2200 block of 37th Street,0,1
1735,"July 24, 2015",Arkansas,Pine Bluff,500 block of East 28th Street,0,1
1736,"July 23, 2015",Oklahoma,Choctaw,11100 block of E Draper Ave,0,1
1737,"July 21, 2015",Alabama,Mobile,Border Circle North,0,1
1738,"July 21, 2015",Missouri,Saint Louis,Walton Avenue,0,1
1739,"July 19, 2015",Michigan,Detroit,16300 block of West Chicago,0,1
1740,"July 18, 2015",Missouri,Columbia,6200 block of Eric Lane,0,1
1741,"July 17, 2015",Michigan,Saginaw,359 Vestry Dr,0,2
1742,"July 14, 2015",South Carolina,Conway,Second Avenue,0,1
1743,"July 14, 2015",Mississippi,Guntown,County Road 397,0,1
1744,"July 13, 2015",Oklahoma,Hodgen,Cedar Lake Road,0,1
1745,"July 13, 2015",Arkansas,LeFlore (county),,0,1
1746,"July 10, 2015",Kansas,Lawrence,6200 block of West 22nd Court,0,1
1747,"July 10, 2015",Florida,West Palm Beach,Australian Avenue,0,1
1748,"July 9, 2015",Colorado,Aurora,1000 block of North Vaughn Street,0,1
1749,"July 4, 2015",Iowa,Council Bluffs,26th Street and Avenue J,0,1
1750,"July 4, 2015",Tennessee,Nashville,First Avenue and Korean Veterans Boulevard,0,1
1751,"July 4, 2015",Ohio,Cleveland,Willowdale Avenue,0,2
1752,"July 1, 2015",Louisiana,Shreveport,3600 block of Colquitt Road,0,1
1753,"July 1, 2015",Florida,Plant City,5721 Turkey Tree Lane,0,1
1754,"June 30, 2015",Wyoming,Cheyenne,1000 block of Bade Road,0,1
1755,"June 28, 2015",Kentucky,Cadiz,5589 Caledonia Road,0,1
1756,"June 21, 2015",Georgia,Lagrange,400 block of Revis Street,0,1
1757,"June 19, 2015",Minnesota,Felton,,0,1
1758,"June 19, 2015",Ohio,Columbus (Whitehall),Chandler Drive,0,1
1759,"June 15, 2015",Georgia,Lithonia,2600 block of Embarcadero Drive,0,1
1760,"June 15, 2015",Pennsylvania,York,1400 block of Devers Road,0,1
1761,"June 14, 2015",Maryland,Baltimore,200 block of North Mount Street,0,1
1762,"June 11, 2015",Indiana,Indianapolis,2400 block of Arbor Lake Lane,0,1
1763,"June 10, 2015",Wisconsin,Hatley,Esker Road,0,1
1764,"June 9, 2015",Indiana,Jeffersonville,Middle Road,0,1
1765,"June 5, 2015",Texas,Dallas,11500 Ferguson Road,0,1
1766,"May 31, 2015",Ohio,Campbell,Penhale Avenue,0,1
1767,"May 30, 2015",South Carolina,Myrtle Beach,Carnation Circle,0,1
1768,"May 19, 2015",Utah,Snowville,UT 30,0,1
1769,"May 19, 2015",Georgia,Atlanta,1900 block of Rollingwood Drive,0,1
1770,"May 17, 2015",Florida,Saint Augustine (St Augustine),3800 block of Osprey Circle,0,1
1771,"May 17, 2015",North Carolina,Stokes,Highway 30,0,1
1772,"May 15, 2015",Louisiana,Baton Rouge,Rose Garden Drive,0,1
1773,"May 13, 2015",Oklahoma,Pottawatomie County,,0,1
1774,"May 11, 2015",Michigan,Ann Arbor,3000 block of Valencia Circle,0,1
1775,"May 10, 2015",Ohio,Trotwood,4000 block of Mayview Drive,0,1
1776,"May 8, 2015",Indiana,Gary,1000 block of Tyler Street,0,1
1777,"May 6, 2015",Florida,Jacksonville,5200 block of Redrac Street,0,1
1778,"May 4, 2015",Michigan,Clinton Township,34160 Little Mack Ave,0,1
1779,"May 3, 2015",Iowa,Iowa City,836 Hudson Ave,0,1
1780,"May 2, 2015",Alabama,Tarrant,700 block of Bell Avenue,0,1
1781,"May 2, 2015",California,Marysville (Linda),1900 block of Fernwood Drive,0,2
1782,"May 2, 2015",Pennsylvania,Hulmeville,Bellevue Ave,0,1
1783,"May 2, 2015",Missouri,Senath,Highway C,0,1
1784,"May 1, 2015",Alabama,Phenix City,1200 block of Knowles Rd,0,1
1785,"April 30, 2015",Arizona,Peoria,8200 block of West Varney,0,1
1786,"April 23, 2015",Vermont,Underhill,Downs Road,0,1
1787,"April 23, 2015",Michigan,Flint,,0,1
1788,"April 22, 2015",Illinois,Chicago,5900 block of South Peoria,0,1
1789,"April 20, 2015",Alabama,Leeds,Davis Mountain Road,0,1
1790,"April 17, 2015",Michigan,Lansing,5600 block of South Martin Luther King Jr. Boulevard,0,1
1791,"April 14, 2015",Idaho,Blackfoot,1600 block of South 2600 West,0,1
1792,"April 13, 2015",Arizona,Buckeye,311th Avenue,0,1
1793,"April 7, 2015",Florida,Zephyrhills,8544 Old Lakeland Highway,0,1
1794,"April 7, 2015",Illinois,Chicago,3700 block of West 13th Street,0,1
1795,"April 7, 2015",Florida,Dade City,8500 block of U.S. 98,0,1
1796,"April 5, 2015",Pennsylvania,Lancaster,600 block of East Madison Street,0,1
1797,"April 3, 2015",North Carolina,Raleigh,5200 block of Evergreen Forest Way,0,1
1798,"April 3, 2015",Georgia,Hephzibah,4900 block of Horseshoe Circle,0,1
1799,"April 2, 2015",Florida,Debary,Plumosa Road,0,1
1800,"April 1, 2015",Alabama,Center Point,1600 block of 1st Street N.W,0,2
1801,"March 30, 2015",Georgia,Winder,881 Highway 82,0,1
1802,"March 29, 2015",North Carolina,Iredell County,Peterborough Drive,0,1
1803,"March 26, 2015",Pennsylvania,Montoursville,200 block of Broad Street,0,1
1804,"March 23, 2015",Kentucky,Highland Heights,100 block of Bon Jan Lane,0,1
1805,"March 21, 2015",Pennsylvania,Philadelphia,6000 block of Charles Street,0,1
1806,"March 20, 2015",New York,Brooklyn,71st Street,0,1
1807,"March 19, 2015",Georgia,Chatsworth,419 Fullers Chapel Road,0,1
1808,"March 18, 2015",Missouri,Phelps County,,0,2
1809,"March 10, 2015",Georgia,Macon,Grand Avenue,0,1
1810,"March 9, 2015",Utah,Green River,East Teton Boulevard,0,1
1811,"March 8, 2015",Kentucky,Campbellsville,400 block of Lowell Avenue,0,1
1812,"March 8, 2015",Connecticut,Monroe,76 Partridge Drive,0,1
1813,"March 7, 2015",Wisconsin,Oshkosh,Westhaven Drive,0,1
1814,"March 7, 2015",Missouri,Texas County,,0,1
1815,"March 2, 2015",Texas,Houston,16800 block of Faring Road,0,1
1816,"February 27, 2015",Nevada,Las Vegas,3400 block of Algiers Drive,0,1
1817,"February 22, 2015",Mississippi,Laurel,37 Johnson Circle,0,1
1818,"February 21, 2015",Alaska,Wasilla,4900 E Palmer Wasilla Hwy,0,1
1819,"February 21, 2015",Ohio,Toledo,533 block of Prouty Avenue,0,1
1820,"February 21, 2015",Missouri,Florissant,1100 block of Paddock Drive,0,1
1821,"February 15, 2015",Alabama,Gaylesville,County Road 865,1,2
1822,"February 13, 2015",Kansas,Maple City,,0,1
1823,"February 13, 2015",California,Fresno,Bullard and Cornelia Avenue,0,1
1824,"February 11, 2015",Florida,Orange County,,0,1
1825,"February 7, 2015",Oregon,Gresham,1100 block of NW 15th Street,0,1
1826,"February 2, 2015",Florida,Davie,4800 block of Southwest 59th Street,0,1
1827,"January 31, 2015",Indiana,Hamlet,,0,1
1828,"January 31, 2015",Alabama,Jasper,24th Street West,0,2
1829,"January 31, 2015",New Mexico,Albuquerque,2100 block of Menaul NE,0,2
1830,"January 30, 2015",Louisiana,New Roads,Carver Street,0,1
1831,"January 26, 2015",Wisconsin,Milwaukee,4200 block of W. Spaulding Place,0,1
1832,"January 25, 2015",Nevada,Las Vegas,9100 block of Sparklewood Court,0,1
1833,"January 18, 2015",Kansas,Delia,North of 118th and B Road,0,1
1834,"January 17, 2015",Texas,Colleyville,Douglas Avenue,0,1
1835,"January 16, 2015",New Mexico,Flora Vista,County Road 3451,0,1
1836,"January 11, 2015",Virginia,Chesterfield,7500 block of Bensley Park Boulevard,0,1
1837,"January 8, 2015",North Carolina,Lexington,874 Wafford Road,0,1
1838,"January 7, 2015",Missouri,Kansas City,3800 block of Chestnut Avenue,0,1
1839,"January 6, 2015",Missouri,Pacific,18325 Rathbun Hills Road,0,1
1840,"January 2, 2015",Ohio,Columbus,2700 block of Vantage Point Drive,0,1
1841,"December 30, 2014",Alabama,Arab,Cranford Road,0,1
1842,"December 27, 2014",North Carolina,Graham,Red Head Tail,0,1
1843,"December 27, 2014",Indiana,Greenwood,600 block of Pine Lake Drive,0,1
1844,"December 26, 2014",Florida,Bradenton,NW 21st Terrace,0,1
1845,"December 26, 2014",Idaho,Castleford,,0,1
1846,"December 14, 2014",Tennessee,Memphis,3300 block of Aden Street,0,1
1847,"December 5, 2014",Texas,Killeen,800 Kern Rd,0,1
1848,"November 30, 2014",Texas,Houston,4702 West Magnum Rd.,0,1
1849,"November 29, 2014",Texas,Houston,4700 block of West Mangum Road,0,1
1850,"November 29, 2014",Texas,Rice,,0,1
1851,"November 22, 2014",New York,Brooklyn,580 Sutter Avenue,0,1
1852,"November 21, 2014",Washington,Lake Stevens,600 block of East Lakeshore Drive,0,1
1853,"November 21, 2014",Kansas,Marion,,0,1
1854,"November 20, 2014",Wisconsin,Milwaukee,3600 block of N. 12th St.,0,1
1855,"November 15, 2014",Pennsylvania,Sharon Hill,1400 block of Calcon Hook Road,0,1
1856,"November 15, 2014",Oklahoma,Velma,,0,1
1857,"November 14, 2014",Mississippi,Bay St. Louis,Bay Oaks Drive,0,1
1858,"November 12, 2014",Florida,Deland,Parsons Avenue,0,1
1859,"November 9, 2014",Georgia,Atlanta,Celebration Court,0,1
1860,"November 7, 2014",Louisiana,Baton Rouge,Spedale Street,0,1
1861,"November 3, 2014",Maryland,Baltimore,4400 block of Pen Lucy Road,0,1
1862,"November 3, 2014",West Virginia,White Sulphur Springs,Tuckahoe Road,0,2
1863,"October 29, 2014",Michigan,Detroit,18400 block of Algonac,0,1
1864,"October 27, 2014",Michigan,Detroit,6200 block of Minnock,0,1
1865,"October 27, 2014",South Carolina,Aiken,161 Nautilus Street,0,1
1866,"October 22, 2014",Indiana,Kokomo,406 Fawn Drive,1,1
1867,"October 18, 2014",Pennsylvania,Gibson Township,,0,1
1868,"October 11, 2014",North Carolina,Jacksonville,Northview Court,0,1
1869,"October 11, 2014",Tennessee,Winchester,45 Living Oak Lane,0,1
1870,"October 5, 2014",Mississippi,McComb,3000 block of Gradyville Road,0,1
1871,"October 1, 2014",North Carolina,Rutherford County,164 Helen's Lane,0,1
1872,"September 30, 2014",Delaware,Wilmington,Cliffside Court,0,1
1873,"September 29, 2014",Pennsylvania,Williamsport,2nd and Locust Street,0,1
1874,"September 29, 2014",Indiana,Indianapolis,9000 block of East 39th Place,0,1
1875,"September 25, 2014",Pennsylvania,Saltsburg,Elders Ridge Road,0,1
1876,"September 20, 2014",South Carolina,Columbia,100 block of East Lake Trail,0,1
1877,"September 17, 2014",Alaska,Delta Junction,,0,1
1878,"September 17, 2014",Alabama,Birmingham,2700 block of 35th Avenue North,0,3
1879,"September 13, 2014",North Carolina,Charlotte,Bank Street,0,1
1880,"September 13, 2014",Virginia,Virginia Beach,5800 block of Echingham Drive,0,1
1881,"September 11, 2014",California,Oakland,2600 block of 77th Avenue ,0,1
1882,"September 5, 2014",Texas,Humble,200 block of Moonshine Hill,0,1
1883,"September 4, 2014",Florida,Middleburg,2530 Blanding Blvd,0,4
1884,"September 1, 2014",Tennessee,Rutledge,329 Wildlife Way,0,1
1885,"September 1, 2014",Virginia,Dinwiddie,2100 block of Courthouse Road,0,1
1886,"August 30, 2014",California,Georgetown,Bottle Hill Road,0,1
1887,"August 26, 2014",Michigan,Battle Creek,,0,1
1888,"August 23, 2014",Florida,Milton,4900 block of Trailer Park Court,0,1
1889,"August 23, 2014",Idaho,Hayden,9400 block of North Government Way,0,1
1890,"August 22, 2014",Missouri,Wildwood,18300 block of Rathbun Hills Road,0,1
1891,"August 22, 2014",Illinois,Chicago,4300 block of West Monroe Street,1,0
1892,"August 19, 2014",Tennessee,Memphis,3151 Ashwood St,0,1
1893,"August 15, 2014",Kansas,Newton,900 block of Cherry Hills Dr,0,1
1894,"August 14, 2014",Georgia,Atlanta,2973 Middleton Road NW,0,1
1895,"August 11, 2014",Michigan,Detroit,2900 block of Buena Vista,0,1
1896,"August 10, 2014",Ohio,Colerain Township,Impala Drive,0,1
1897,"August 10, 2014",Texas,Texas City,,0,1
1898,"August 10, 2014",Texas,Conroe,1100 South Seventh,0,1
1899,"August 7, 2014",North Carolina,Lake Waccamaw,,0,1
1900,"August 7, 2014",Texas,Texas City,,0,1
1901,"August 7, 2014",West Virginia,Shinnston,Bridge Street ,0,1
1902,"August 6, 2014",Texas,Houston,10100 Beechnut St,0,2
1903,"August 6, 2014",North Carolina,Troutman,Pilch Road,0,1
1904,"August 5, 2014",Texas,Fort Worth,600 block of Destin Drive,0,1
1905,"August 4, 2014",Ohio,Dayton (Trotwood),1100 block of Graystone Drive,0,1
1906,"August 4, 2014",Colorado,Pueblo,3200 block of Colfax Avenue,0,1
1907,"August 4, 2014",New York,Smithtown,303 Devon Lane,0,2
1908,"August 2, 2014",Nebraska,Omaha,28th Street and Camden Avenue,0,1
1909,"July 31, 2014",California,Lake Tahoe,Lake Tahoe Blvd,0,1
1910,"July 26, 2014",Texas,Belton,,0,1
1911,"July 21, 2014",Alabama,Birmingham,5500 block of Avenue 0,0,1
1912,"July 16, 2014",Ohio,Loveland,1500 West Main Street,0,1
1913,"July 16, 2014",Alabama,Anniston,3900 block of Greenbrier Dear Road,0,1
1914,"July 14, 2014",Missouri,Kansas City,6000 block of Blue Hills Road,0,1
1915,"July 10, 2014",Ohio,Spencer,5700 Root Rd,0,1
1916,"July 9, 2014",Alabama,Anniston,3900 block of Greenbrier Dear Road,0,1
1917,"July 9, 2014",Florida,Miramar,4300 block of SW 132nd Way ,0,1
1918,"July 7, 2014",Indiana,Indianapolis,6201 Newberry Rd,0,1
1919,"July 7, 2014",South Carolina,Saint Helena Island,,0,1
1920,"July 6, 2014",Tennessee,Chattanooga,,0,1
1921,"July 3, 2014",Florida,West Palm Beach,137000 block of 59th Ct,0,1
1922,"June 27, 2014",Texas,Henderson County,FM 59,0,1
1923,"June 26, 2014",Wyoming,Sheridan County,State Highway 345 ,0,1
1924,"June 19, 2014",Indiana,Muncie,400 West Charles Street,0,1
1925,"June 13, 2014",Texas,Odessa,16000 block of S. Hwy 385,0,1
1926,"June 13, 2014",New York,Albion,341 Caroline St,0,1
1927,"June 11, 2014",Alabama,Foley,,0,1
1928,"June 9, 2014",Virginia,Hopewell,200 block of S. 8th Avenue,0,2
1929,"June 5, 2014",Ohio,Ansonia,600 East Canal Stree,0,1
1930,"June 1, 2014",Louisiana,New Orleans,I-10 East ,0,1
1931,"June 1, 2014",Virginia,Richmond,1400 block of Harwood Street,0,1
1932,"May 18, 2014",Missouri,New Florence,,0,1
1933,"May 17, 2014",North Carolina,Wadesboro,,0,1
1934,"May 17, 2014",North Carolina,Wadesboro,,0,1
1935,"May 12, 2014",South Carolina,Summerville,West Richardson Avenue ,0,1
1936,"May 12, 2014",South Carolina,Dillon,South Third Avenue ,0,1
1937,"April 20, 2014",Ohio,Middletown,,0,1
1938,"April 14, 2014",Georgia,Albany,2706 North Slappey Boulevard,0,1
1939,"April 7, 2014",West Virginia,Charleston (Cross Lanes),Hurley Drive,0,1
1940,"March 18, 2014",Utah,Richfield,Main Street near 500 South ,0,1
1941,"March 18, 2014",Utah,Richfield,Main Street,0,1
1942,"March 13, 2014",Alabama,Prattville,Upper Kingston Road,0,1
1943,"March 11, 2014",Indiana,Indianapolis,2100 block of Mitthoeffer Rd,0,1
1944,"March 7, 2014",Ohio,Reynoldsburg,Tamar Ct,0,1
1945,"March 5, 2014",California,Nuevo, 31000 block of Wolfskill Avenue,1,0
1946,"March 3, 2014",Arizona,Amado,,0,1
1947,"March 1, 2014",Oklahoma,Oklahoma City,,0,2
1948,"March 1, 2014",Texas,Dallas,,0,1
1949,"March 1, 2014",Pennsylvania,Butler,,0,1
1950,"February 22, 2014",Tennessee,Mosheim,1300 Iron Bridge Road,0,1
1951,"February 18, 2014",Alabama,Birmingham,,0,1
1952,"February 14, 2014",Texas,Aransas Pass,,0,1
1953,"February 7, 2014",Alabama,Huntsville,Charlotte Drive ,0,1
1954,"February 6, 2014",North Carolina,Shelby,,0,1
1955,"January 24, 2014",Oklahoma,Verdigris,8100 block of East Misty Morning Place,0,1
1956,"January 21, 2014",Indiana,Fort Wayne,2930 South Hanna Street ,0,1
1957,"January 17, 2014",California,Fresno,Turner Avenue,0,1
1958,"January 16, 2014",Arizona,Avondale,Dysart and Indian School,0,1
1959,"January 11, 2014",Oregon,Gresham,Southeast Marie ,0,1
1960,"January 7, 2014",California,Fresno,1600 block of N Maple,0,2
1961,"January 1, 2014",South Carolina,Olanta,Highway 301,0,1
1962,"January 1, 2014",Indiana,Fort Wayne,800 Growth Avenue,0,1
1963,"November 19, 2016",Illinois,Pembroke Township,13500E block of 2000S Road,0,1
1964,"November 15, 2016",Michigan,Alcona (county),,0,1
1965,"November 13, 2016",Oregon,Lebanon,36400 block of Gore Drive,0,1
1966,"November 13, 2016",Indiana,Vevay,Ashland Cove Road,0,1
1967,"November 13, 2016",New Jersey,Paterson,Fair Street,0,1
1968,"November 12, 2016",Michigan,Grand Rapids,Griggs Street,0,1
1969,"November 11, 2016",Wisconsin,Oconto (county),,0,1
1970,"November 6, 2016",Indiana,Posey (county),River Road,0,2
1971,"November 5, 2016",Georgia,Jonesboro,10000 block of Fitzgerald Road,0,1
1972,"November 5, 2016",Arizona,Phoenix,55th Avenue and Clarendon,0,1
1973,"November 3, 2016",Maine,Springfield,,0,1
1974,"October 31, 2016",Pennsylvania,Lebanon,302 E Weidman Street,0,1
1975,"October 30, 2016",Louisiana,Plain Dealing,,0,1
1976,"October 28, 2016",West Virginia,Hedgesville,Durham Drive,0,1
1977,"October 26, 2016",Ohio,Zanesville,507 Imlay Avenue,0,1
1978,"October 26, 2016",Florida,Pinellas Park,7600 block of 62nd Way,0,1
1979,"October 22, 2016",Maine,New Sharon,236 Starks Road,0,1
1980,"October 22, 2016",Ohio,Cleveland,East 131st,0,2
1981,"October 17, 2016",Indiana,Elkhart,311 East Carlton Avenue,0,2
1982,"October 16, 2016",Kansas,Cowley (county),22000 block of 12th Road,0,1
1983,"October 16, 2016",North Dakota,Abercrombie,,0,1
1984,"October 14, 2016",Illinois,Freeport,1100 block of South State Ave,0,1
1985,"October 12, 2016",Kentucky,Louisville,5600 block of Rustic Way,0,1
1986,"October 12, 2016",Arizona,Peoria,7522 W Deer Valley Rd,0,2
1987,"October 11, 2016",Illinois,Chicago,2800 block of South Central Park,0,1
1988,"October 5, 2016",North Dakota,Enderlin,,0,1
1989,"October 4, 2016",Tennessee,Nashville,1400 block of 16th Avenue North,0,1
1990,"October 4, 2016",Florida,Immokalee,300 block of South Seventh Street,0,1
1991,"October 2, 2016",Tennessee,Memphis,3400 block of Dupre Street,0,1
1992,"October 2, 2016",Pennsylvania,Indiana,Airport Road,0,1
1993,"October 1, 2016",Ohio,Lima,4251 Reservoir Road,0,1
1994,"September 26, 2016",Kentucky,Lexington,3500 block of Gunbow Court,0,1
1995,"September 26, 2016",Georgia,Norcross,1400 block of Wingfoot Way,0,1
1996,"September 25, 2016",Tennessee,Nashville (Donelson),209 Blue Hills Drive,0,1
1997,"September 24, 2016",Utah,Sandy,9575 S State St,0,2
1998,"September 20, 2016",North Carolina,Wilmington,15th and Castle Streets,0,1
1999,"September 16, 2016",Texas,Harris (county),,0,1
2000,"September 16, 2016",Georgia,Morgan (county),Hawkins Avenue,0,1
2001,"September 15, 2016",Wisconsin,Milwaukee,7878 N 60th Street,0,1
2002,"September 15, 2016",California,Fresno,2500 block of Fairmont,0,1
2003,"September 8, 2016",Texas,Alpine,704 West Sul Ross Avenue,1,2
